ep_1,ep_2,ep_3,ep_100,ep_2500,ep_5000,ep_10000,ep_25000,ep_50000,ep_100000,hs_1,hs_2,hs_3,hs_100,hs_2000,hs_5000,hs_10000,hs_20000,lp_1,lp_2,lp_3,lp_10,lp_50,lp_100,lp_250,lp_500,name_jp,start_date,boost_date,end_date,count
3155822,3056533,2838382,949088,138509,63137,50561,32753,30301,2658,1448726,1440179,1436370,1388306,1278382,1224463,1177426,1116297,40159391,16297119,15522812,7329776,2598587,1847358,1309508,953701,プラチナスターシアター～Bonnes! Bonnes!! Vacances!!!～,2019-03-04T15:00:00+09:00,2019-03-07T15:00:00+09:00,2019-03-10T20:59:59+09:00,135854
3900417,3750000,3315417,1068915,152860,67806,51646,34586,30492,2386,1199788,1194728,1178864,1142679,1057437,1014559,972948,917747,31225433,16670926,15646426,8799386,3099642,2006173,1402225,1017865,プラチナスターツアー～ピコピコIIKO! インベーダー～,2019-03-19T15:00:00+09:00,2019-03-22T15:00:00+09:00,2019-03-25T20:59:59+09:00,118581
3800807,3621789,3360418,1373062,284359,99038,56715,40626,32051,9591,1233197,1232832,1232405,1196411,1134885,1100102,1062220,1007615,33180861,27311098,26539940,11896131,4415745,2791744,1847300,1302769,プラチナスターシアタースペシャル～アイドルヒーローズジェネシス～,2019-04-02T15:00:00+09:00,2019-04-06T15:00:00+09:00,2019-04-10T20:59:59+09:00,164244
4105108,4082760,3904361,1393570,189208,71109,52240,36648,30840,2104,1197177,1190533,1176967,1144603,1076043,1033512,993540,937033,33877202,30636989,26500833,9208317,3184406,2192913,1538254,1067614,プラチナスターツアー～Episode. Tiara～,2019-04-19T15:00:00+09:00,2019-04-23T15:00:00+09:00,2019-04-26T20:59:59+09:00,116914
3500000,3000000,2787034,1217987,213452,79998,53217,37948,30898,2666,1470795,1470604,1467233,1430316,1333836,1284660,1238657,1182220,28494676,25265995,18545162,11915864,3519788,2285573,1611312,1135879,プラチナスターシアター～プリムラ～,2019-05-02T15:00:00+09:00,2019-05-06T15:00:00+09:00,2019-05-10T20:59:59+09:00,134953
5057296,5000765,4500052,2170031,387044,116960,61977,44640,33416,8131,1219220,1213892,1212841,1176905,1118193,1085155,1051857,1000327,46436733,31371705,30990523,16538796,5697763,3192574,2046707,1463456,プラチナスターツアー～LEADER!!～,2019-05-20T15:00:00+09:00,2019-05-24T15:00:00+09:00,2019-05-28T20:59:59+09:00,133133
3256522,3090605,2940591,947492,157075,67271,51101,34175,30396,2251,1487898,1479789,1478934,1437801,1328662,1274317,1226199,1163285,27446341,14281658,13409705,8768900,2882544,2008029,1378863,996281,プラチナスターシアター～fruity love～,2019-06-03T15:00:00+09:00,2019-06-07T15:00:00+09:00,2019-06-10T20:59:59+09:00,131823
3800902,3590239,3503612,1470893,234886,82892,54948,39090,31836,7672,1119324,1117381,1117183,1090636,1027096,988386,950423,901605,27520749,23449904,22963819,10189468,3538237,2430658,1604100,1185620,プラチナスターツアー～White Vows～,2019-06-19T15:00:00+09:00,2019-06-23T15:00:00+09:00,2019-06-26T20:59:59+09:00,133801
3906565,3779630,3770417,1851216,368214,95716,55240,36968,31234,11366,1277625,1254313,1252411,1209746,1137319,1097330,1057173,999582,32710943,26578537,26045116,16362920,4827678,2973037,1876156,1314968,プラチナスターツアー～dans l'obscurité～,2019-07-23T15:00:00+09:00,2019-07-26T15:00:00+09:00,2019-07-29T20:59:59+09:00,153093
3347039,3247167,3003970,1281935,157605,67307,51486,35963,30710,4093,1507513,1506566,1500086,1463757,1363433,1310701,1261424,1195615,52504838,22988186,19641316,10234323,2765623,2025964,1445756,1019195,プラチナスターシアター～ランニング・ハイッ～,2019-08-04T15:00:00+09:00,2019-08-08T15:00:00+09:00,2019-08-12T20:59:59+09:00,146998
4300000,4230000,4200000,1316044,246613,82722,54298,38220,31360,6152,1261815,1258531,1253540,1210638,1138319,1095903,1054826,995315,39657627,25889189,19670638,11575976,3595406,2486583,1629177,1146855,プラチナスターツアー～ラビットファー～,2019-08-21T15:00:00+09:00,2019-08-25T15:00:00+09:00,2019-08-28T20:59:59+09:00,129880
3100808,2971396,2775476,1092261,134854,63239,50993,36563,30953,4513,1523413,1518867,1506898,1453582,1356797,1309179,1263061,1197434,25784723,17687778,16416479,8399743,2780269,1907168,1384429,1000982,プラチナスターシアター～赤い世界が消える頃～,2019-09-03T15:00:00+09:00,2019-09-07T15:00:00+09:00,2019-09-10T20:59:59+09:00,139169
4864680,4802501,4000018,1516574,261998,84200,57190,44016,33526,5342,1211817,1198095,1194424,1159672,1096163,1057515,1019970,966102,37194343,31148803,20815766,11216614,4532745,2547397,1741908,1224748,プラチナスターツアー～Girl meets Wonder～,2019-09-19T15:00:00+09:00,2019-09-23T15:00:00+09:00,2019-09-26T20:59:59+09:00,123473
